document_id,document_metadata.geography,world_bank_region,country_name
UNFCCC.party.31.0,AGO,Sub-Saharan Africa,Angola
CCLW.executive.1394.2633,ITA,Europe & Central Asia,Italy
CCLW.executive.1402.2632,ITA,Europe & Central Asia,Italy
CCLW.executive.1406.2102,JAM,Latin America & Caribbean,Jamaica
CCLW.executive.1406.3939,JAM,Latin America & Caribbean,Jamaica
CCLW.executive.1417.2095,JOR,Middle East & North Africa,Jordan
CCLW.executive.1429.2071,KEN,Sub-Saharan Africa,Kenya
CCLW.executive.1457.2424,FSM,East Asia & Pacific,Micronesia
CCLW.executive.1533.2346,PAK,South Asia,Pakistan
CCLW.executive.1539.2547,PER,Latin America & Caribbean,Peru
CCLW.executive.1550.2344,PHL,East Asia & Pacific,Philippines
CCLW.executive.1551.2410,PHL,East Asia & Pacific,Philippines
CCLW.executive.1571.1887,PRT,Europe & Central Asia,Portugal
CCLW.executive.1584.2316,ROU,Europe & Central Asia,Romania
CCLW.executive.1594.3156,RUS,Europe & Central Asia,Russia
CCLW.executive.1594.4667,RUS,Europe & Central Asia,Russia
CCLW.executive.1595.0,RUS,Europe & Central Asia,Russia
CCLW.executive.1596.2542,RUS,Europe & Central Asia,Russia
CCLW.executive.1597.2304,RUS,Europe & Central Asia,Russia
CCLW.executive.1598.0,RUS,Europe & Central Asia,Russia
CCLW.executive.1606.2298,SAU,Middle East & North Africa,Saudi Arabia
CCLW.executive.1615.2264,SEN,Sub-Saharan Africa,Senegal
CCLW.executive.1626.3054,SVK,Europe & Central Asia,Slovakia
CCLW.executive.1642.1485,SVK,Europe & Central Asia,Slovakia
CCLW.executive.1649.1874,KOR,East Asia & Pacific,South Korea
CCLW.executive.1665.2236,ESP,Europe & Central Asia,Spain
CCLW.executive.1670.2063,ESP,Europe & Central Asia,Spain
CCLW.executive.1671.0,ESP,Europe & Central Asia,Spain
CCLW.executive.1673.2228,ESP,Europe & Central Asia,Spain
CCLW.executive.1689.3005,CHE,Europe & Central Asia,Switzerland
CCLW.executive.1690.3162,CHE,Europe & Central Asia,Switzerland
CCLW.executive.1715.2198,TTO,Latin America & Caribbean,Trinidad and Tobago
CCLW.legislative.1383.2500,ITA,Europe & Central Asia,Italy
CCLW.legislative.1393.2487,ITA,Europe & Central Asia,Italy
CCLW.legislative.1397.2479,ITA,Europe & Central Asia,Italy
CCLW.legislative.1413.4607,JPN,East Asia & Pacific,Japan
CCLW.legislative.1415.2463,JPN,East Asia & Pacific,Japan
CCLW.legislative.1432.2447,KWT,Middle East & North Africa,Kuwait
CCLW.legislative.1452.2429,MEX,Latin America & Caribbean,Mexico
CCLW.legislative.1505.4698,NLD,Europe & Central Asia,Netherlands
CCLW.legislative.1510.rtl_271,NZL,East Asia & Pacific,New Zealand
CCLW.legislative.1511.2379,NZL,East Asia & Pacific,New Zealand
CCLW.legislative.1513.5146,NZL,East Asia & Pacific,New Zealand
CCLW.legislative.1520.3134,NOR,Europe & Central Asia,Norway
CCLW.legislative.1525.3142,NOR,Europe & Central Asia,Norway
CCLW.legislative.1553.4055,PHL,East Asia & Pacific,Philippines
CCLW.legislative.1562.2334,POL,Europe & Central Asia,Poland
CCLW.legislative.1664.2238,ESP,Europe & Central Asia,Spain
CCLW.legislative.1683.6564,SWE,Europe & Central Asia,Sweden
CCLW.legislative.1692.3168,CHE,Europe & Central Asia,Switzerland
CCLW.legislative.1694.3171,CHE,Europe & Central Asia,Switzerland
CCLW.legislative.1694.3172,CHE,Europe & Central Asia,Switzerland
CCLW.legislative.1705.2207,TZA,Sub-Saharan Africa,Tanzania
CCLW.legislative.1722.3180,TUR,Europe & Central Asia,Turkey
CCLW.legislative.1723.3181,TUR,Europe & Central Asia,Turkey
CCLW.legislative.1723.3182,TUR,Europe & Central Asia,Turkey
CCLW.legislative.1723.5310,TUR,Europe & Central Asia,Turkey
CCLW.legislative.1728.2188,TUV,East Asia & Pacific,Tuvalu
CCLW.legislative.1741.2175,UKR,Europe & Central Asia,Ukraine
CCLW.legislative.1754.3555,GBR,Europe & Central Asia,United Kingdom
CCLW.legislative.1755.4614,GBR,Europe & Central Asia,United Kingdom
CCLW.legislative.1765.4396,GBR,Europe & Central Asia,United Kingdom
CCLW.legislative.1766.4154,GBR,Europe & Central Asia,United Kingdom
CCLW.legislative.1766.rtl_74,GBR,Europe & Central Asia,United Kingdom
CCLW.legislative.1772.2149,USA,North America,United States of America
CCLW.legislative.1783.2137,VUT,East Asia & Pacific,Vanuatu
CCLW.legislative.1786.2134,VEN,Latin America & Caribbean,Venezuela
CCLW.legislative.1790.6601,VNM,East Asia & Pacific,Vietnam
CCLW.legislative.1798.2119,VNM,East Asia & Pacific,Vietnam
CCLW.legislative.2005.3189,POL,Europe & Central Asia,Poland
